opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,11/23/2016,3/30/2017,0,Rocco Neubert,East,MG,55
GYB4W2AU,Elease Gluck,MG Advanced,,Engaging,11/23/2016,,,Celia Rouche,West,MG,3393
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,11/23/2016,3/3/2017,4438,Melvin Marxen,Central,GTX,4821
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,11/23/2016,3/17/2017,2972,Melvin Marxen,Central,MG,3393
VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,11/23/2016,,,Celia Rouche,West,MG,55
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,11/23/2016,3/1/2017,523,Celia Rouche,West,GTX,550
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,11/24/2016,3/25/2017,3647,Dustin Brinkmann,Central,MG,3393
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,11/24/2016,3/1/2017,4200,Rocco Neubert,East,MG,3393
579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,11/24/2016,,,Rocco Neubert,East,GTX,1096
SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,11/24/2016,,,Summer Sewald,West,GTX,1096
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,11/24/2016,3/28/2017,1059,Summer Sewald,West,GTX,1096
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,11/24/2016,3/5/2017,0,Melvin Marxen,Central,GTX,1096
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,11/24/2016,3/2/2017,57,Dustin Brinkmann,Central,MG,55
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,11/24/2016,3/27/2017,3671,Celia Rouche,West,MG,3393
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,11/25/2016,3/1/2017,58,Dustin Brinkmann,Central,MG,55
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,11/25/2016,3/6/2017,3956,Dustin Brinkmann,Central,MG,3393
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,11/25/2016,3/1/2017,5964,Cara Losch,East,GTX,5482
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,11/25/2016,3/6/2017,4570,Cara Losch,East,GTX,4821
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,11/25/2016,3/27/2017,49,Melvin Marxen,Central,MG,55
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,11/25/2016,3/6/2017,65,Cara Losch,East,MG,55
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,11/26/2016,3/27/2017,0,Dustin Brinkmann,Central,MG,55
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,11/26/2016,3/8/2017,4739,Melvin Marxen,Central,GTX,4821
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,11/26/2016,3/21/2017,1080,Melvin Marxen,Central,GTX,1096
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,11/26/2016,3/12/2017,57,Rocco Neubert,East,MG,55
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,11/27/2016,3/16/2017,469,Cara Losch,East,GTX,550
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,11/27/2016,3/3/2017,532,Summer Sewald,West,GTX,550
PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,11/27/2016,,,Celia Rouche,West,MG,3393
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,11/27/2016,3/26/2017,538,Celia Rouche,West,GTX,550
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,11/27/2016,3/21/2017,4829,Cara Losch,East,GTX,4821
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,11/27/2016,3/11/2017,5370,Summer Sewald,West,GTX,5482
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,11/27/2016,3/21/2017,6499,Summer Sewald,West,GTX,5482
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/28/2016,3/6/2017,1161,Melvin Marxen,Central,GTX,1096
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,11/28/2016,3/26/2017,576,Summer Sewald,West,GTX,550
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,11/28/2016,3/19/2017,979,Summer Sewald,West,GTX,1096
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,11/28/2016,3/7/2017,43,Dustin Brinkmann,Central,MG,55
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,11/29/2016,3/7/2017,57,Melvin Marxen,Central,MG,55
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,11/29/2016,3/28/2017,0,Dustin Brinkmann,Central,MG,55
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,11/29/2016,3/12/2017,948,Dustin Brinkmann,Central,GTX,1096
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,11/29/2016,3/10/2017,3012,Cara Losch,East,MG,3393
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,11/30/2016,3/15/2017,3665,Rocco Neubert,East,MG,3393
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,11/30/2016,3/24/2017,564,Cara Losch,East,GTX,550
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,12/1/2016,3/6/2017,0,Dustin Brinkmann,Central,GTX,1096
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,12/1/2016,3/22/2017,3463,Rocco Neubert,East,MG,3393
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,12/1/2016,3/26/2017,513,Cara Losch,East,GTX,550
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,12/1/2016,3/28/2017,590,Cara Losch,East,GTX,550
QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,12/1/2016,3/30/2017,4511,Melvin Marxen,Central,GTX,4821
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,12/1/2016,3/2/2017,0,Dustin Brinkmann,Central,MG,3393
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,12/1/2016,3/26/2017,546,Melvin Marxen,Central,GTX,550
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,12/1/2016,3/5/2017,46,Celia Rouche,West,MG,55
A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,12/2/2016,3/9/2017,4891,Melvin Marxen,Central,GTX,4821
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,12/2/2016,3/3/2017,1040,Celia Rouche,West,GTX,1096
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,12/2/2016,3/4/2017,1108,Celia Rouche,West,GTX,1096
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,12/2/2016,3/4/2017,59,Celia Rouche,West,MG,55
22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,12/2/2016,3/30/2017,5406,Melvin Marxen,Central,GTX,4821
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,12/2/2016,3/20/2017,515,Summer Sewald,West,GTX,550
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,12/2/2016,3/6/2017,583,Dustin Brinkmann,Central,GTX,550
6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,12/2/2016,3/14/2017,54,Dustin Brinkmann,Central,MG,55
3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,12/2/2016,3/27/2017,60,Celia Rouche,West,MG,55
CNM0H9FR,Zane Levy,GTX Basic,,Engaging,12/2/2016,,,Summer Sewald,West,GTX,550
XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,12/3/2016,3/12/2017,0,Melvin Marxen,Central,GTX,550
TZCAQWL3,Darcel Schlecht,GTXPro,Funholding,Lost,12/3/2016,3/19/2017,0,Melvin Marxen,Central,GTX,4821
BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,12/3/2016,3/23/2017,516,Melvin Marxen,Central,GTX,550
B8E0UUZR,Darcel Schlecht,GTXPro,Rangreen,Won,12/3/2016,3/22/2017,4829,Melvin Marxen,Central,GTX,4821
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,12/3/2016,3/17/2017,0,Dustin Brinkmann,Central,GTX,1096
MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,12/3/2016,3/2/2017,950,Rocco Neubert,East,GTX,1096
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,12/3/2016,3/9/2017,0,Celia Rouche,West,GTX,1096
DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,12/4/2016,3/20/2017,513,Cara Losch,East,GTX,550
3W1K7X5F,Darcel Schlecht,GTXPro,Condax,Lost,12/4/2016,3/9/2017,0,Melvin Marxen,Central,GTX,4821
45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,12/4/2016,3/12/2017,5522,Melvin Marxen,Central,GTX,5482
9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,12/4/2016,3/9/2017,56,Melvin Marxen,Central,MG,55
JLWKWQYC,James Ascencio,GTXPro,Doncon,Won,12/4/2016,3/8/2017,5673,Summer Sewald,West,GTX,4821
7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,12/4/2016,3/10/2017,598,Summer Sewald,West,GTX,550
XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,12/4/2016,3/16/2017,5787,Melvin Marxen,Central,GTX,5482
S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,12/4/2016,3/8/2017,1070,Summer Sewald,West,GTX,1096
6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,12/5/2016,3/14/2017,3677,Rocco Neubert,East,MG,3393
G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,12/5/2016,3/30/2017,5425,Rocco Neubert,East,GTX,5482
UAE5ZC7O,Daniell Hammack,GTX Plus Pro,,Engaging,12/5/2016,,,Rocco Neubert,East,GTX,5482
6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,12/5/2016,3/23/2017,3415,Rocco Neubert,East,MG,3393
JUCNIG4H,James Ascencio,GTX Basic,,Engaging,12/5/2016,,,Summer Sewald,West,GTX,550
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,12/5/2016,3/21/2017,891,Summer Sewald,West,GTX,1096
4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,12/6/2016,3/12/2017,609,Dustin Brinkmann,Central,GTX,550
EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,12/6/2016,3/16/2017,54,Celia Rouche,West,MG,55
82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,12/6/2016,3/9/2017,1049,Summer Sewald,West,GTX,1096
14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,12/7/2016,3/7/2017,1152,Rocco Neubert,East,GTX,1096
DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,12/7/2016,3/20/2017,0,Rocco Neubert,East,MG,55
1YSOZLHF,Daniell Hammack,GTXPro,Umbrella Corporation,Won,12/7/2016,3/28/2017,4799,Rocco Neubert,East,GTX,4821
E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,12/7/2016,3/12/2017,51,Melvin Marxen,Central,MG,55
787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,12/7/2016,3/3/2017,3426,Celia Rouche,West,MG,3393
0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,12/7/2016,3/11/2017,51,Melvin Marxen,Central,MG,55
FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,12/7/2016,3/20/2017,564,Summer Sewald,West,GTX,550
TWF0J0DF,Cecily Lampkin,GTX Plus Pro,Isdom,Won,12/8/2016,3/1/2017,5882,Dustin Brinkmann,Central,GTX,5482
ICMXZOVL,Daniell Hammack,GTXPro,Stanredtax,Engaging,12/8/2016,,,Rocco Neubert,East,GTX,4821
UQ14O415,Donn Cantrell,GTXPro,Plussunin,Won,12/8/2016,3/20/2017,5059,Rocco Neubert,East,GTX,4821
IBEUTCSW,James Ascencio,MG Advanced,,Engaging,12/8/2016,,,Summer Sewald,West,MG,3393
O3KC8QI8,Kami Bicknell,GTX Plus Basic,,Engaging,12/8/2016,,,Summer Sewald,West,GTX,1096
BOJSLNDG,Kami Bicknell,MG Advanced,Singletechno,Won,12/8/2016,3/11/2017,3388,Summer Sewald,West,MG,3393
WALNFJ70,Kary Hendrixson,GTX Plus Pro,,Engaging,12/8/2016,,,Summer Sewald,West,GTX,5482
DASMR0EK,Markita Hansen,GTX Plus Pro,Zoomit,Won,12/8/2016,3/10/2017,5410,Celia Rouche,West,GTX,5482
A76M0OOH,Reed Clapper,GTX Plus Basic,Zathunicon,Won,12/8/2016,3/28/2017,978,Rocco Neubert,East,GTX,1096
E1VKE2PH,Vicki Laflamme,MG Special,Scotfind,Won,12/8/2016,3/26/2017,54,Celia Rouche,West,MG,55
SKY95DVG,Anna Snelling,MG Special,Betatech,Lost,12/9/2016,3/22/2017,0,Dustin Brinkmann,Central,MG,55
V5OK4V5I,Cassey Cress,GTX Basic,Bubba Gump,Won,12/9/2016,3/14/2017,549,Rocco Neubert,East,GTX,550
GJ4L5HHN,Corliss Cosme,GTX Plus Basic,Mathtouch,Won,12/9/2016,3/14/2017,1034,Cara Losch,East,GTX,1096
9R8JWY3J,Donn Cantrell,GTXPro,Vehement Capital Partners,Won,12/9/2016,3/3/2017,4998,Rocco Neubert,East,GTX,4821
0EOFVU05,Donn Cantrell,MG Advanced,Ontomedia,Won,12/9/2016,3/28/2017,3421,Rocco Neubert,East,MG,3393
HNHOPL7M,Kary Hendrixson,GTX Plus Pro,Doncon,Won,12/9/2016,3/4/2017,5425,Summer Sewald,West,GTX,5482
Y0NYI17R,Vicki Laflamme,MG Special,Dalttechnology,Won,12/9/2016,3/15/2017,55,Celia Rouche,West,MG,55
R4F4RGAL,Violet Mclelland,MG Advanced,Silis,Won,12/9/2016,3/14/2017,3558,Cara Losch,East,MG,3393
MNVMY83P,Cassey Cress,GTXPro,Plussunin,Engaging,12/10/2016,,,Rocco Neubert,East,GTX,4821
0ZHLQFGU,Kami Bicknell,GTXPro,Blackzim,Won,12/10/2016,3/22/2017,4839,Summer Sewald,West,GTX,4821
40DPY158,Markita Hansen,MG Special,Hottechi,Won,12/10/2016,3/25/2017,47,Celia Rouche,West,MG,55
DP9E525R,Maureen Marcano,GTX Plus Basic,Fasehatice,Won,12/10/2016,3/24/2017,1007,Summer Sewald,West,GTX,1096
DBDUMQQK,Niesha Huffines,MG Special,Inity,Won,12/10/2016,3/24/2017,48,Melvin Marxen,Central,MG,55
CNBN12RL,Versie Hillebrand,MG Special,Treequote,Won,12/10/2016,3/7/2017,49,Dustin Brinkmann,Central,MG,55
OXL0YWEE,Violet Mclelland,GTX Basic,Mathtouch,Won,12/10/2016,3/18/2017,504,Cara Losch,East,GTX,550
ZOBJHMAF,Cassey Cress,MG Advanced,,Engaging,12/11/2016,,,Rocco Neubert,East,MG,3393
KD6MB4AP,Elease Gluck,MG Special,,Engaging,12/11/2016,,,Celia Rouche,West,MG,55
5CSSZJF4,Jonathan Berthelot,GTX Basic,Finhigh,Won,12/11/2016,3/21/2017,543,Melvin Marxen,Central,GTX,550
0XG8TOJF,Kary Hendrixson,GTX Plus Pro,Fasehatice,Lost,12/11/2016,3/18/2017,0,Summer Sewald,West,GTX,5482
IIS0O91J,Kary Hendrixson,GTXPro,Fasehatice,Won,12/11/2016,3/28/2017,5149,Summer Sewald,West,GTX,4821
2LP5SUR5,Lajuana Vencill,GTX Basic,Treequote,Lost,12/11/2016,3/9/2017,0,Dustin Brinkmann,Central,GTX,550
PYZZ3IS6,Markita Hansen,GTX Plus Basic,Blackzim,Won,12/11/2016,3/11/2017,1043,Celia Rouche,West,GTX,1096
5I4K5TQE,Cassey Cress,GTX Plus Pro,Sumace,Lost,12/12/2016,3/9/2017,0,Rocco Neubert,East,GTX,5482
RV3LPOYP,James Ascencio,GTX Basic,Condax,Won,12/12/2016,3/29/2017,437,Summer Sewald,West,GTX,550
A194RP0I,Rosalina Dieter,MG Advanced,,Engaging,12/12/2016,,,Celia Rouche,West,MG,3393
1HVNTEPV,Rosie Papadopoulos,GTXPro,Kinnamplus,Won,12/12/2016,3/11/2017,4465,Cara Losch,East,GTX,4821
