opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,manager,regional_office,series,sales_price,sector,year_established,revenue,employees,office_location
2V848WZD,Lajuana Vencill,MG Advanced,Stanredtax,Won,11/18/2016,3/4/2017,3180,Dustin Brinkmann,Central,MG,3393,finance,1987,1698.2,3798,United States
ONYNTUCG,Darcel Schlecht,GTXPro,Funholding,Lost,11/19/2016,3/17/2017,0,Melvin Marxen,Central,GTX,4821,finance,1991,2819.5,7227,United States
HIOHX80Y,Darcel Schlecht,MG Advanced,Gogozoom,Won,11/19/2016,3/18/2017,3563,Melvin Marxen,Central,MG,3393,telecommunications,2007,86.68,187,United States
LPKT07PV,Boris Faz,GTXPro,Opentech,Won,11/20/2016,3/23/2017,4704,Rocco Neubert,East,GTX,4821,finance,1994,355.23,853,United States
WPB2SLIG,Donn Cantrell,GTX Plus Pro,Silis,Won,11/20/2016,3/14/2017,5585,Rocco Neubert,East,GTX,5482,medical,1994,2818.38,6290,United States
XUSUEAV7,Elease Gluck,GTK 500,Zoomit,Won,11/20/2016,3/9/2017,25897,Celia Rouche,West,GTK,26768,entertainment,1992,324.19,978,United States
3TYPII47,Kami Bicknell,GTX Plus Basic,Goodsilron,Won,11/20/2016,3/3/2017,1207,Summer Sewald,West,GTX,1096,marketing,2000,2952.73,5107,United States
7WAX8Z8O,Lajuana Vencill,MG Advanced,Cancity,Lost,11/20/2016,3/8/2017,0,Dustin Brinkmann,Central,MG,3393,retail,2001,718.62,2448,United States
MYDUMR3R,Lajuana Vencill,GTX Basic,Rangreen,Won,11/20/2016,3/4/2017,559,Dustin Brinkmann,Central,GTX,550,technolgy,1987,2938.67,8775,Panama
0DRC1U9Q,Maureen Marcano,GTX Basic,Green-Plus,Engaging,11/20/2016,,,Summer Sewald,West,GTX,550,services,2003,692.19,1922,United States
37JFKD4I,Niesha Huffines,GTX Plus Basic,dambase,Won,11/20/2016,3/9/2017,1033,Melvin Marxen,Central,GTX,1096,marketing,1995,2173.98,2928,United States
25YKPHX8,Donn Cantrell,GTX Basic,Kan-code,Won,11/21/2016,3/21/2017,462,Rocco Neubert,East,GTX,550,software,1982,11698.03,34288,United States
BXXMA7F3,Hayden Neloms,MG Advanced,Nam-zim,Lost,11/21/2016,3/1/2017,0,Celia Rouche,West,MG,3393,services,1987,405.59,1179,Brazil
GIUUTBXM,Kary Hendrixson,GTXPro,Y-corporation,Won,11/21/2016,3/14/2017,5539,Summer Sewald,West,GTX,4821,employment,1983,2871.35,9561,United States
MFX2LR1Q,Lajuana Vencill,MG Advanced,Ron-tech,Won,11/21/2016,3/15/2017,3573,Dustin Brinkmann,Central,MG,3393,medical,1992,3922.42,6837,United States
DUHE9FLY,Marty Freudenburg,GTXPro,Conecom,Won,11/21/2016,3/1/2017,4926,Melvin Marxen,Central,GTX,4821,technolgy,2005,1520.66,1806,United States
96BSG7R1,Zane Levy,GTX Plus Basic,Sunnamplex,Lost,11/21/2016,3/17/2017,0,Summer Sewald,West,GTX,1096,marketing,2008,894.37,1593,Poland
7FQMSWIX,Corliss Cosme,MG Special,Bioplex,Won,11/22/2016,3/4/2017,62,Cara Losch,East,MG,55,medical,1991,326.82,1016,United States
C20AVXN7,Darcel Schlecht,GTXPro,Gogozoom,Won,11/22/2016,3/14/2017,4359,Melvin Marxen,Central,GTX,4821,telecommunications,2007,86.68,187,United States
GS1QVWCR,Kami Bicknell,GTX Basic,Plusstrip,Won,11/22/2016,3/31/2017,566,Summer Sewald,West,GTX,550,entertainment,2002,349.81,315,United States
ZWH8FXY3,Marty Freudenburg,GTX Basic,Toughzap,Won,11/22/2016,3/3/2017,508,Melvin Marxen,Central,GTX,550,retail,1995,332.43,799,United States
2U94Y3Q9,Rosie Papadopoulos,MG Advanced,Vehement Capital Partners,Lost,11/22/2016,3/20/2017,0,Cara Losch,East,MG,3393,finance,1993,646.1,883,United States
AAR79NOO,Versie Hillebrand,MG Special,Codehow,Won,11/22/2016,3/11/2017,51,Dustin Brinkmann,Central,MG,55,software,1998,2714.9,2641,United States
B6B0PNR2,Vicki Laflamme,GTXPro,Dalttechnology,Won,11/22/2016,3/5/2017,4899,Celia Rouche,West,GTX,4821,software,2013,98.79,96,United States
M7I5O9YU,Corliss Cosme,GTX Basic,Cheers,Engaging,11/23/2016,,,Cara Losch,East,GTX,550,entertainment,1993,4269.9,6472,United States
LXZA2OSZ,Corliss Cosme,GTX Plus Pro,Ontomedia,Won,11/23/2016,3/3/2017,5790,Cara Losch,East,GTX,5482,employment,1997,882.12,2769,United States
N0ONCYVZ,Donn Cantrell,MG Special,Kinnamplus,Lost,11/23/2016,3/30/2017,0,Rocco Neubert,East,MG,55,retail,2004,702.72,1831,United States
513DPFX5,Gladys Colclough,GTXPro,Codehow,Won,11/23/2016,3/3/2017,4438,Melvin Marxen,Central,GTX,4821,software,1998,2714.9,2641,United States
RU023K5W,Gladys Colclough,MG Advanced,Finhigh,Won,11/23/2016,3/17/2017,2972,Melvin Marxen,Central,MG,3393,finance,2006,1102.43,1759,United States
VDIU10RV,Markita Hansen,MG Special,Lexiqvolax,Engaging,11/23/2016,,,Celia Rouche,West,MG,55,medical,2004,1618.89,3889,United States
BZCBQ514,Markita Hansen,GTX Basic,Y-corporation,Won,11/23/2016,3/1/2017,523,Celia Rouche,West,GTX,550,employment,1983,2871.35,9561,United States
HEE6P0QH,Anna Snelling,MG Advanced,Statholdings,Won,11/24/2016,3/25/2017,3647,Dustin Brinkmann,Central,MG,3393,employment,1997,291.27,586,United States
L8CHRJ2B,Cassey Cress,MG Advanced,Umbrella Corporation,Won,11/24/2016,3/1/2017,4200,Rocco Neubert,East,MG,3393,finance,1998,2022.14,5113,United States
579LZ3F9,Daniell Hammack,GTX Plus Basic,J-Texon,Engaging,11/24/2016,,,Rocco Neubert,East,GTX,1096,retail,1989,1388.67,3583,United States
SU8JNMP4,Kami Bicknell,GTX Plus Basic,Bubba Gump,Engaging,11/24/2016,,,Summer Sewald,West,GTX,1096,software,2002,987.39,2253,United States
V2X2KMUR,Kami Bicknell,GTX Plus Basic,Faxquote,Won,11/24/2016,3/28/2017,1059,Summer Sewald,West,GTX,1096,telecommunications,1995,1825.82,5595,United States
AJIPJP75,Marty Freudenburg,GTX Plus Basic,Codehow,Lost,11/24/2016,3/5/2017,0,Melvin Marxen,Central,GTX,1096,software,1998,2714.9,2641,United States
NYVA2G6U,Versie Hillebrand,MG Special,Dontechi,Won,11/24/2016,3/2/2017,57,Dustin Brinkmann,Central,MG,55,software,1982,4618,10083,United States
FF45BXTL,Vicki Laflamme,MG Advanced,Konex,Won,11/24/2016,3/27/2017,3671,Celia Rouche,West,MG,3393,technolgy,1980,7708.38,13756,United States
TTA9LYBS,Anna Snelling,MG Special,Treequote,Won,11/25/2016,3/1/2017,58,Dustin Brinkmann,Central,MG,55,telecommunications,1988,5266.09,8595,United States
PAGZQH8L,Cecily Lampkin,MG Advanced,Treequote,Won,11/25/2016,3/6/2017,3956,Dustin Brinkmann,Central,MG,3393,telecommunications,1988,5266.09,8595,United States
J7YF6DS7,Corliss Cosme,GTX Plus Pro,Betasoloin,Won,11/25/2016,3/1/2017,5964,Cara Losch,East,GTX,5482,medical,1999,251.41,495,United States
S5IXY4Z9,Corliss Cosme,GTXPro,Betasoloin,Won,11/25/2016,3/6/2017,4570,Cara Losch,East,GTX,4821,medical,1999,251.41,495,United States
JQBJMETQ,Darcel Schlecht,MG Special,Domzoom,Won,11/25/2016,3/27/2017,49,Melvin Marxen,Central,MG,55,entertainment,1998,217.87,551,United States
0LVWSWEW,Violet Mclelland,MG Special,Donquadtech,Won,11/25/2016,3/6/2017,65,Cara Losch,East,MG,55,technolgy,1992,1712.68,3194,United States
K53BC1T9,Anna Snelling,MG Special,Domzoom,Lost,11/26/2016,3/27/2017,0,Dustin Brinkmann,Central,MG,55,entertainment,1998,217.87,551,United States
D40N5I9Y,Darcel Schlecht,GTXPro,Finhigh,Won,11/26/2016,3/8/2017,4739,Melvin Marxen,Central,GTX,4821,finance,2006,1102.43,1759,United States
051QTX8Z,Niesha Huffines,GTX Plus Basic,Globex Corporation,Won,11/26/2016,3/21/2017,1080,Melvin Marxen,Central,GTX,1096,technolgy,2000,1223.72,2497,Norway
5D2XH04S,Reed Clapper,MG Special,Plussunin,Won,11/26/2016,3/12/2017,57,Rocco Neubert,East,MG,55,retail,2003,1419.98,4018,United States
V9E582SK,Garret Kinder,GTX Basic,Konex,Won,11/27/2016,3/16/2017,469,Cara Losch,East,GTX,550,technolgy,1980,7708.38,13756,United States
UK0LEZRJ,Kary Hendrixson,GTX Basic,Condax,Won,11/27/2016,3/3/2017,532,Summer Sewald,West,GTX,550,medical,2017,4.54,9,United States
PFFHM7HR,Markita Hansen,MG Advanced,Opentech,Engaging,11/27/2016,,,Celia Rouche,West,MG,3393,finance,1994,355.23,853,United States
IT10CFQH,Rosalina Dieter,GTX Basic,Konex,Won,11/27/2016,3/26/2017,538,Celia Rouche,West,GTX,550,technolgy,1980,7708.38,13756,United States
8VKD2CCH,Rosie Papadopoulos,GTXPro,Massive Dynamic,Won,11/27/2016,3/21/2017,4829,Cara Losch,East,GTX,4821,entertainment,1989,665.06,1095,United States
2XQAKBXH,Zane Levy,GTX Plus Pro,Doncon,Won,11/27/2016,3/11/2017,5370,Summer Sewald,West,GTX,5482,technolgy,2010,587.72,1501,United States
7G7YLGJO,Zane Levy,GTX Plus Pro,Hatfan,Won,11/27/2016,3/21/2017,6499,Summer Sewald,West,GTX,5482,services,1982,792.46,1299,United States
GCA97W27,Darcel Schlecht,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/28/2016,3/6/2017,1161,Melvin Marxen,Central,GTX,1096,retail,2007,894.33,1635,Italy
K8FUZHOG,Kary Hendrixson,GTX Basic,Scotfind,Won,11/28/2016,3/26/2017,576,Summer Sewald,West,GTX,550,software,1996,6354.87,16780,United States
5WJZMULK,Maureen Marcano,GTX Plus Basic,Hatfan,Won,11/28/2016,3/19/2017,979,Summer Sewald,West,GTX,1096,services,1982,792.46,1299,United States
ZPYD4T9W,Versie Hillebrand,MG Special,Stanredtax,Won,11/28/2016,3/7/2017,43,Dustin Brinkmann,Central,MG,55,finance,1987,1698.2,3798,United States
KE9ZEDS8,Gladys Colclough,MG Special,Scottech,Won,11/29/2016,3/7/2017,57,Melvin Marxen,Central,MG,55,marketing,2012,45.39,100,United States
7KK0HQ4C,Lajuana Vencill,MG Special,Ron-tech,Lost,11/29/2016,3/28/2017,0,Dustin Brinkmann,Central,MG,55,medical,1992,3922.42,6837,United States
FP7014Z0,Lajuana Vencill,GTX Plus Basic,Funholding,Won,11/29/2016,3/12/2017,948,Dustin Brinkmann,Central,GTX,1096,finance,1991,2819.5,7227,United States
N4HFHDMW,Wilburn Farren,MG Advanced,Plussunin,Won,11/29/2016,3/10/2017,3012,Cara Losch,East,MG,3393,retail,2003,1419.98,4018,United States
2HFLKREC,Cassey Cress,MG Advanced,Zotware,Won,11/30/2016,3/15/2017,3665,Rocco Neubert,East,MG,3393,software,1979,4478.47,13809,United States
7JVTTVCO,Violet Mclelland,GTX Basic,Gekko & Co,Won,11/30/2016,3/24/2017,564,Cara Losch,East,GTX,550,retail,1990,2520.83,3502,United States
3X13866U,Anna Snelling,GTX Plus Basic,dambase,Lost,12/1/2016,3/6/2017,0,Dustin Brinkmann,Central,GTX,1096,marketing,1995,2173.98,2928,United States
7LE19SYE,Cassey Cress,MG Advanced,Initech,Won,12/1/2016,3/22/2017,3463,Rocco Neubert,East,MG,3393,telecommunications,1994,6395.05,20275,United States
J5V2M7Y1,Corliss Cosme,GTX Basic,Gekko & Co,Won,12/1/2016,3/26/2017,513,Cara Losch,East,GTX,550,retail,1990,2520.83,3502,United States
41MURAI5,Corliss Cosme,GTX Basic,Konex,Won,12/1/2016,3/28/2017,590,Cara Losch,East,GTX,550,technolgy,1980,7708.38,13756,United States
QHI8WRIA,Darcel Schlecht,GTXPro,Dontechi,Won,12/1/2016,3/30/2017,4511,Melvin Marxen,Central,GTX,4821,software,1982,4618,10083,United States
AJXAXV4W,Lajuana Vencill,MG Advanced,Finhigh,Lost,12/1/2016,3/2/2017,0,Dustin Brinkmann,Central,MG,3393,finance,2006,1102.43,1759,United States
VPDXX5PJ,Niesha Huffines,GTX Basic,Cancity,Won,12/1/2016,3/26/2017,546,Melvin Marxen,Central,GTX,550,retail,2001,718.62,2448,United States
PZB9NUK8,Vicki Laflamme,MG Special,Y-corporation,Won,12/1/2016,3/5/2017,46,Celia Rouche,West,MG,55,employment,1983,2871.35,9561,United States
A0ANOYPF,Darcel Schlecht,GTXPro,Ron-tech,Won,12/2/2016,3/9/2017,4891,Melvin Marxen,Central,GTX,4821,medical,1992,3922.42,6837,United States
0P4AAPYX,Hayden Neloms,GTX Plus Basic,Golddex,Won,12/2/2016,3/3/2017,1040,Celia Rouche,West,GTX,1096,finance,2008,52.5,165,United States
O6T5WC3W,Hayden Neloms,GTX Plus Basic,Sonron,Won,12/2/2016,3/4/2017,1108,Celia Rouche,West,GTX,1096,telecommunications,1999,1699.85,5108,United States
0NO04P6C,Hayden Neloms,MG Special,Nam-zim,Won,12/2/2016,3/4/2017,59,Celia Rouche,West,MG,55,services,1987,405.59,1179,Brazil
22OFSXBT,Jonathan Berthelot,GTXPro,Statholdings,Won,12/2/2016,3/30/2017,5406,Melvin Marxen,Central,GTX,4821,employment,1997,291.27,586,United States
MRXZTMM6,Kary Hendrixson,GTX Basic,Cheers,Won,12/2/2016,3/20/2017,515,Summer Sewald,West,GTX,550,entertainment,1993,4269.9,6472,United States
LGI8QEC2,Moses Frase,GTX Basic,Treequote,Won,12/2/2016,3/6/2017,583,Dustin Brinkmann,Central,GTX,550,telecommunications,1988,5266.09,8595,United States
6KZ0NCFX,Versie Hillebrand,MG Special,Funholding,Won,12/2/2016,3/14/2017,54,Dustin Brinkmann,Central,MG,55,finance,1991,2819.5,7227,United States
3SF8O9S6,Vicki Laflamme,MG Special,Plusstrip,Won,12/2/2016,3/27/2017,60,Celia Rouche,West,MG,55,entertainment,2002,349.81,315,United States
XK668R7C,Darcel Schlecht,GTX Basic,Dontechi,Lost,12/3/2016,3/12/2017,0,Melvin Marxen,Central,GTX,550,software,1982,4618,10083,United States
TZCAQWL3,Darcel Schlecht,GTXPro,Funholding,Lost,12/3/2016,3/19/2017,0,Melvin Marxen,Central,GTX,4821,finance,1991,2819.5,7227,United States
BADC6A9H,Darcel Schlecht,GTX Basic,Globex Corporation,Won,12/3/2016,3/23/2017,516,Melvin Marxen,Central,GTX,550,technolgy,2000,1223.72,2497,Norway
B8E0UUZR,Darcel Schlecht,GTXPro,Rangreen,Won,12/3/2016,3/22/2017,4829,Melvin Marxen,Central,GTX,4821,technolgy,1987,2938.67,8775,Panama
I043RXJV,Moses Frase,GTX Plus Basic,Dontechi,Lost,12/3/2016,3/17/2017,0,Dustin Brinkmann,Central,GTX,1096,software,1982,4618,10083,United States
MWWB44CC,Reed Clapper,GTX Plus Basic,Donquadtech,Won,12/3/2016,3/2/2017,950,Rocco Neubert,East,GTX,1096,technolgy,1992,1712.68,3194,United States
HBTINPDG,Vicki Laflamme,GTX Plus Basic,Xx-holding,Lost,12/3/2016,3/9/2017,0,Celia Rouche,West,GTX,1096,finance,1993,7537.24,20293,United States
DZ3KHZSX,Corliss Cosme,GTX Basic,Initech,Won,12/4/2016,3/20/2017,513,Cara Losch,East,GTX,550,telecommunications,1994,6395.05,20275,United States
3W1K7X5F,Darcel Schlecht,GTXPro,Condax,Lost,12/4/2016,3/9/2017,0,Melvin Marxen,Central,GTX,4821,medical,2017,4.54,9,United States
45A57X68,Darcel Schlecht,GTX Plus Pro,Ron-tech,Won,12/4/2016,3/12/2017,5522,Melvin Marxen,Central,GTX,5482,medical,1992,3922.42,6837,United States
9SLYC4TR,Gladys Colclough,MG Special,Cancity,Won,12/4/2016,3/9/2017,56,Melvin Marxen,Central,MG,55,retail,2001,718.62,2448,United States
JLWKWQYC,James Ascencio,GTXPro,Doncon,Won,12/4/2016,3/8/2017,5673,Summer Sewald,West,GTX,4821,technolgy,2010,587.72,1501,United States
7QC6FOKW,Kami Bicknell,GTX Basic,Xx-holding,Won,12/4/2016,3/10/2017,598,Summer Sewald,West,GTX,550,finance,1993,7537.24,20293,United States
XA184CMW,Marty Freudenburg,GTX Plus Pro,Rangreen,Won,12/4/2016,3/16/2017,5787,Melvin Marxen,Central,GTX,5482,technolgy,1987,2938.67,8775,Panama
S0N7BYU3,Maureen Marcano,GTX Plus Basic,Singletechno,Won,12/4/2016,3/8/2017,1070,Summer Sewald,West,GTX,1096,retail,1996,2214.94,5374,United States
6WOMHAJM,Boris Faz,MG Advanced,Donquadtech,Won,12/5/2016,3/14/2017,3677,Rocco Neubert,East,MG,3393,technolgy,1992,1712.68,3194,United States
G1QGATKV,Cassey Cress,GTX Plus Pro,Ontomedia,Won,12/5/2016,3/30/2017,5425,Rocco Neubert,East,GTX,5482,employment,1997,882.12,2769,United States
6XFVQI32,Donn Cantrell,MG Advanced,Yearin,Won,12/5/2016,3/23/2017,3415,Rocco Neubert,East,MG,3393,retail,2005,2261.05,3851,United States
OGD4MDJ9,Maureen Marcano,GTX Plus Basic,Lexiqvolax,Won,12/5/2016,3/21/2017,891,Summer Sewald,West,GTX,1096,medical,2004,1618.89,3889,United States
4NGBUZWJ,Lajuana Vencill,GTX Basic,Codehow,Won,12/6/2016,3/12/2017,609,Dustin Brinkmann,Central,GTX,550,software,1998,2714.9,2641,United States
EFG5DGV5,Markita Hansen,MG Special,Plusstrip,Won,12/6/2016,3/16/2017,54,Celia Rouche,West,MG,55,entertainment,2002,349.81,315,United States
82MM4H33,Zane Levy,GTX Plus Basic,Labdrill,Won,12/6/2016,3/9/2017,1049,Summer Sewald,West,GTX,1096,medical,1985,2741.37,9226,United States
14PM641K,Cassey Cress,GTX Plus Basic,Gekko & Co,Won,12/7/2016,3/7/2017,1152,Rocco Neubert,East,GTX,1096,retail,1990,2520.83,3502,United States
DSBGHOPN,Daniell Hammack,MG Special,Plussunin,Lost,12/7/2016,3/20/2017,0,Rocco Neubert,East,MG,55,retail,2003,1419.98,4018,United States
1YSOZLHF,Daniell Hammack,GTXPro,Umbrella Corporation,Won,12/7/2016,3/28/2017,4799,Rocco Neubert,East,GTX,4821,finance,1998,2022.14,5113,United States
E8RP9FRW,Gladys Colclough,MG Special,dambase,Won,12/7/2016,3/12/2017,51,Melvin Marxen,Central,MG,55,marketing,1995,2173.98,2928,United States
787IRG9Q,Hayden Neloms,MG Advanced,J-Texon,Won,12/7/2016,3/3/2017,3426,Celia Rouche,West,MG,3393,retail,1989,1388.67,3583,United States
0TUS4NAC,Jonathan Berthelot,MG Special,Rangreen,Won,12/7/2016,3/11/2017,51,Melvin Marxen,Central,MG,55,technolgy,1987,2938.67,8775,Panama
FAJTQMUM,Kami Bicknell,GTX Basic,Finjob,Won,12/7/2016,3/20/2017,564,Summer Sewald,West,GTX,550,employment,1988,2059.9,3644,United States
